,location,lat,lon
197,"Basavanagudi, Bangalore",12.9417261,77.5755021
198,"Basavanagudi, Bangalore",12.9417261,77.5755021
199,"Basavanagudi, Bangalore",12.9417261,77.5755021
200,"Banashankari, Bangalore",12.9152186,77.5736205
201,"Jayanagar, Bangalore",12.9292731,77.5824229
202,"Jayanagar, Bangalore",12.9292731,77.5824229
203,"Banashankari, Bangalore",12.9152186,77.5736205
204,"Banashankari, Bangalore",12.9152186,77.5736205
205,"Banashankari, Bangalore",12.9152186,77.5736205
206,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
207,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
208,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
209,"Basavanagudi, Bangalore",12.9417261,77.5755021
210,"Jayanagar, Bangalore",12.9292731,77.5824229
211,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
212,"Banashankari, Bangalore",12.9152186,77.5736205
213,"Jayanagar, Bangalore",12.9292731,77.5824229
214,"Jayanagar, Bangalore",12.9292731,77.5824229
215,"Jayanagar, Bangalore",12.9292731,77.5824229
216,"Jayanagar, Bangalore",12.9292731,77.5824229
217,"Jayanagar, Bangalore",12.9292731,77.5824229
218,"JP Nagar, Bangalore",12.9120761,77.57939318031076
219,"Jayanagar, Bangalore",12.9292731,77.5824229
220,"Jayanagar, Bangalore",12.9292731,77.5824229
221,"Basavanagudi, Bangalore",12.9417261,77.5755021
222,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
223,"Basavanagudi, Bangalore",12.9417261,77.5755021
224,"Basavanagudi, Bangalore",12.9417261,77.5755021
225,"Basavanagudi, Bangalore",12.9417261,77.5755021
226,"JP Nagar, Bangalore",12.9120761,77.57939318031076
227,"Basavanagudi, Bangalore",12.9417261,77.5755021
228,"Basavanagudi, Bangalore",12.9417261,77.5755021
229,"Basavanagudi, Bangalore",12.9417261,77.5755021
230,"Basavanagudi, Bangalore",12.9417261,77.5755021
231,"Jayanagar, Bangalore",12.9292731,77.5824229
232,"Basavanagudi, Bangalore",12.9417261,77.5755021
233,"Basavanagudi, Bangalore",12.9417261,77.5755021
234,"Jayanagar, Bangalore",12.9292731,77.5824229
235,"Jayanagar, Bangalore",12.9292731,77.5824229
236,"Basavanagudi, Bangalore",12.9417261,77.5755021
237,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
238,"Banashankari, Bangalore",12.9152186,77.5736205
239,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
240,"Jayanagar, Bangalore",12.9292731,77.5824229
241,"Jayanagar, Bangalore",12.9292731,77.5824229
242,"Banashankari, Bangalore",12.9152186,77.5736205
243,"Basavanagudi, Bangalore",12.9417261,77.5755021
244,"Banashankari, Bangalore",12.9152186,77.5736205
245,"Banashankari, Bangalore",12.9152186,77.5736205
246,"Jayanagar, Bangalore",12.9292731,77.5824229
247,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
