name,rate,location,cuisines,cost_for_two,type
Kwality Wall's Swirl's Happiness Station,2.9,Banashankari,"Ice Cream, Desserts",200,Delivery
Soms Kitchen & Bakes,3.7,Banashankari,"South Indian, North Indian, Continental",400,Delivery
Banashankari Nati Style,3.7,Banashankari,"Biryani, Chinese, South Indian, North Indian",350,Delivery
Ruchi Maayaka,3.3,Banashankari,South Indian,100,Delivery
Mohitesh Hut Roll,3.7,Banashankari,"Rolls, North Indian",150,Delivery
Sri Basaveshwar Jolada Rotti Oota,3.7,Banashankari,South Indian,150,Delivery
Roll Magic Fast Food,3.7,Banashankari,"Biryani, Rolls, Chinese",200,Delivery
Foodlieious Multi Cuisine,3.7,Banashankari,North Indian,100,Delivery
Thanishka Nati And Karavali Style,3.7,Banashankari,"Biryani, Fast Food",400,Delivery
Swathi Cool Point,3.7,Banashankari,"Beverages, Juices",200,Delivery
Kaumudis Juoice,3.7,Banashankari,"Beverages, Fast Food, Juices",150,Delivery
Amma - Manae,3.7,Banashankari,South Indian,400,Delivery
Sri Sai Tiffannies,3.7,Banashankari,"South Indian, Chinese",150,Delivery
Hotel Andhra Speices,3.7,Banashankari,Andhra,250,Delivery
Sri Murari Family Restaurant,3.7,Banashankari,Biryani,250,Delivery
Aramane Donne Biriyani,3.7,Banashankari,"South Indian, Biryani",150,Delivery
Darkolates,3.7,Banashankari,Desserts,200,Delivery
Swaada Healthy Kitchen,3.7,Banashankari,"Healthy Food, Juices, Sandwich",350,Delivery
Gawdaru Mane Beriyani,3.7,Banashankari,"South Indian, Biryani",300,Delivery
Melting Melodies,3.7,Banashankari,"Pizza, Fast Food",100,Delivery
New Indraprasta,3.7,Banashankari,"South Indian, Beverages",150,Delivery
Anna Kuteera,4,Banashankari,"South Indian, North Indian, Chinese",450,Delivery
Darbar,3,Banashankari,"North Indian, Chinese",800,Delivery
Vijayalakshmi,3.9,Basavanagudi,South Indian,200,Delivery
Sri Udupi Food Hub,4.1,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500,Delivery
Udupi Upahar,3.8,Banashankari,"South Indian, Chinese, North Indian, Juices",300,Delivery
House Of Kebabs,3.8,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",650,Delivery
