name,rate,location,cuisines,cost_for_two
"Devanna Dum Biriyani Centre,Banashankari",3.6,Banashankari,"Biryani, South Indian, Delivery, Dine-out",300
"Kolbeh,Banashankari",3.7,Banashankari,"Fast Food, Delivery, Dine-out",500
"Upahar Sagar,Banashankari",3.8,Banashankari,"South Indian, Chinese, North Indian, Delivery, Dine-out",350
"Frozen Bottle,Banashankari",4.2,Banashankari,"Beverages, Desserts, Ice Cream, Delivery",400
"Parimala Sweets,Banashankari",3.5,Banashankari,"Mithai, Street Food, Delivery, Desserts, Dine-out",200
"Vaishali Deluxe,Banashankari",3.8,Banashankari,"North Indian, Chinese, Delivery, Dine-out",700
"Chill Out,Banashankari",3.7,Banashankari,"South Indian, Chinese, Delivery, Dine-out",100
"The Big O Bakes,Banashankari",4.0,Banashankari,"Bakery, Desserts, Delivery, Desserts",300
"Meghana Foods,Jayanagar",4.4,Jayanagar,"Biryani, North Indian, Chinese, Delivery, Dine-out, Dine-out, Delivery",600
"Krishna Sagar,Banashankari",3.5,Banashankari,"North Indian, Delivery, Dine-out",200
"Dessert Rose,Banashankari",3.5,Banashankari,"Desserts, Delivery, Desserts",500
"Chickpet Donne Biryani House,Banashankari",3.7,Banashankari,"Biryani, Delivery, Dine-out",250
"Me And My Cake,Banashankari",3.7,Banashankari,"Bakery, Desserts, Delivery, Desserts",500
"Sunsadm,Banashankari",3.7,Banashankari,"South Indian, Delivery",400
"Annapooraneshwari Mess,Banashankari",3.7,Banashankari,"South Indian, Delivery, Dine-out",200
"Thanco's Natural Ice Creams,Banashankari",3.2,Banashankari,"Ice Cream, Delivery, Desserts",300
"Nandhini Deluxe,Banashankari",2.6,Banashankari,"North Indian, Delivery, Dine-out",600
"Vi Ra's Bar and Restaurant,Banashankari",3.3,Banashankari,"South Indian, North Indian, Chinese, Delivery, Dine-out, Drinks & nightlife",800
"Kaggis,Banashankari",3.8,Banashankari,"Fast Food, Bakery, Delivery, Desserts, Dine-out",250
"Ayda Persian Kitchen,Banashankari",3.7,Banashankari,"North Indian, Iranian, Delivery, Dine-out",950
"Chatar Patar,Banashankari",3.7,Banashankari,"Fast Food, Street Food, Delivery, Dine-out, Dine-out",300
"Polar Bear,Basavanagudi",3.8,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich, Delivery, Desserts, Dine-out, Delivery",400
"Kidambi's Kitchen,Banashankari",3.5,Banashankari,"South Indian, Delivery, Dine-out, Dine-out",300
"Mane Thindi,Banashankari",3.7,Banashankari,"South Indian, Delivery, Dine-out",200
"Kotian Karavali Restaurant,Banashankari",3.5,Banashankari,"South Indian, Biryani, Delivery, Dine-out",300
"Floured-Baked With Love,Banashankari",3.8,Banashankari,"Bakery, Delivery, Desserts",400
"Cakes & Slices,Banashankari",3.5,Banashankari,"Bakery, Desserts, Delivery, Desserts",300
"Spice 9,Banashankari",3.4,Banashankari,"Biryani, North Indian, Chinese, Fast Food, Delivery, Dine-out",300
"Coffee Shopee,Banashankari",3.7,Banashankari,"Beverages, Delivery",250
"Naveen Kabab & Biriyani Mane,Banashankari",3.2,Banashankari,"Biryani, Delivery, Dine-out",300
"Katriguppe Donne Biryani,Banashankari",3.2,Banashankari,"North Indian, Delivery",300
"Hari Super Sandwich,Banashankari",3.7,Banashankari,"Sandwich, Pizza, Beverages, Delivery",200
"Atithi Point Ande Ka Funda,Banashankari",3.1,Banashankari,"North Indian, Delivery, Dine-out",150
"Just Bake,Banashankari",3.4,Banashankari,"Bakery, Desserts, Delivery, Desserts",400
"Dharwad Line Bazaar Mishra Pedha,Banashankari",3.7,Banashankari,"Mithai, Delivery, Desserts",150
"Cake Bite,Banashankari",3.7,Banashankari,"Bakery, Delivery, Desserts",300
"Aarush's Food Plaza,Banashankari",3.7,Banashankari,"North Indian, Street Food, Delivery, Dine-out",200
"Wood Stove,Banashankari",3.7,Banashankari,"South Indian, Delivery",150
"Kulfi & More,Banashankari",3.7,Banashankari,"Ice Cream, Desserts, Juices, Delivery",150
"Kannadigas Karavali,Banashankari",3.7,Banashankari,"Mangalorean, South Indian, North Indian, Delivery, Dine-out",250
"K27 - The Pub,Banashankari",3.1,Banashankari,"Chinese, North Indian, Delivery, Dine-out, Drinks & nightlife",1000
"Bengaluru Coffee House,Banashankari",4.1,Banashankari,"South Indian, North Indian, Chinese, Street Food, Delivery, Dine-out",300
"New Mangalore Lunch Home,Banashankari",3.3,Banashankari,"Mangalorean, South Indian, North Indian, Delivery, Dine-out",200
"Coffee Bytes,Banashankari",3.1,Banashankari,"Fast Food, South Indian, Delivery, Dine-out",100
"Parjanya Chat Zone,Banashankari",3.3,Banashankari,"Street Food, Fast Food, Delivery, Dine-out",200
"Kwality Wall's Swirl's Happiness Station,Banashankari",2.9,Banashankari,"Ice Cream, Desserts, Delivery, Desserts",200
"Soms Kitchen & Bakes,Banashankari",3.7,Banashankari,"South Indian, North Indian, Continental, Delivery",400
"Banashankari Nati Style,Banashankari",3.7,Banashankari,"Biryani, Chinese, South Indian, North Indian, Delivery, Dine-out",350
"Ruchi Maayaka,Banashankari",3.3,Banashankari,"South Indian, Delivery",100
"Mohitesh Hut Roll,Banashankari",3.7,Banashankari,"Rolls, North Indian, Delivery",150
"Sri Basaveshwar Jolada Rotti Oota,Banashankari",3.7,Banashankari,"South Indian, Delivery, Dine-out",150
"Roll Magic Fast Food,Banashankari",3.7,Banashankari,"Biryani, Rolls, Chinese, Delivery",200
"Foodlieious Multi Cuisine,Banashankari",3.7,Banashankari,"North Indian, Delivery, Dine-out",100
"Thanishka Nati And Karavali Style,Banashankari",3.7,Banashankari,"Biryani, Fast Food, Delivery",400
"Swathi Cool Point,Banashankari",3.7,Banashankari,"Beverages, Juices, Delivery",200
"Kaumudis Juoice,Banashankari",3.7,Banashankari,"Beverages, Fast Food, Juices, Delivery, Dine-out",150
"Amma - Manae,Banashankari",3.7,Banashankari,"South Indian, Delivery",400
"Sri Sai Tiffannies,Banashankari",3.7,Banashankari,"South Indian, Chinese, Delivery",150
"Hotel Andhra Speices,Banashankari",3.7,Banashankari,"Andhra, Delivery, Dine-out",250
"Sri Murari Family Restaurant,Banashankari",3.7,Banashankari,"Biryani, Delivery, Dine-out",250
"Aramane Donne Biriyani,Banashankari",3.7,Banashankari,"South Indian, Biryani, Delivery, Dine-out",150
"Darkolates,Banashankari",3.7,Banashankari,"Desserts, Delivery, Desserts",200
"Swaada Healthy Kitchen,Banashankari",3.7,Banashankari,"Healthy Food, Juices, Sandwich, Delivery, Dine-out",350
"Gawdaru Mane Beriyani,Banashankari",3.7,Banashankari,"South Indian, Biryani, Delivery, Dine-out",300
"Melting Melodies,Banashankari",3.7,Banashankari,"Pizza, Fast Food, Delivery, Desserts",100
"New Indraprasta,Banashankari",3.7,Banashankari,"South Indian, Beverages, Delivery, Dine-out",150
"Anna Kuteera,Banashankari",4.0,Banashankari,"South Indian, North Indian, Chinese, Delivery, Dine-out",450
"Darbar,Banashankari",3.0,Banashankari,"North Indian, Chinese, Delivery, Dine-out, Drinks & nightlife",800
"Vijayalakshmi,Basavanagudi",3.9,Basavanagudi,"South Indian, Delivery, Dine-out, Delivery",200
"Sri Udupi Food Hub,Jayanagar",4.1,Jayanagar,"South Indian, North Indian, Chinese, Beverages, Delivery, Dine-out",500
"Udupi Upahar,Banashankari",3.8,Banashankari,"South Indian, Chinese, North Indian, Juices, Delivery, Dine-out",300
"House Of Kebabs,Basavanagudi",3.8,Basavanagudi,"North Indian, Kebab, Biryani, Chinese, Delivery, Dine-out, Delivery, Dine-out",650
"Roll N Rock,Kumaraswamy Layout",3.8,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls, Delivery, Delivery",400
"BOX8- Desi Meals,Banashankari",4.1,Banashankari,"North Indian, Mughlai, Fast Food, Delivery",500
"KFC,Banashankari",3.8,Banashankari,"Burger, Fast Food, Delivery, Dine-out",450
"Bitez,Banashankari",3.7,Banashankari,"Fast Food, Delivery, Dine-out",100
"Roll Over,Jayanagar",4.1,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich, Delivery, Desserts, Desserts",500
"Lassi Shop,Kumaraswamy Layout",3.9,Kumaraswamy Layout,"Beverages, Juices, Ice Cream, Delivery",150
"The Fortuna,Kumaraswamy Layout",3.0,Kumaraswamy Layout,"North Indian, Chinese, Delivery",250
"Wahab,Jayanagar",3.7,Jayanagar,"North Indian, Mughlai, Chinese, Delivery, Dine-out",350
"Al Diwan Biryanis And More,Basavanagudi",3.3,Basavanagudi,"Biryani, Delivery, Delivery",300
"New Gowda's Fried Chicken,Banashankari",3.3,Banashankari,"Biryani, Delivery, Dine-out",300
"Canton,Jayanagar",3.6,Jayanagar,"Chinese, Seafood, Biryani, Delivery, Dine-out, Dine-out",800
"Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi",3.3,Basavanagudi,"Desserts, Mithai, Delivery, Desserts",300
"The Blue Wagon - Kitchen,Jayanagar",4.6,Jayanagar,"Cafe, Beverages, Delivery, Cafes, Dine-out",400
"HOT COFFEE,Basavanagudi",4.1,Basavanagudi,"South Indian, Chinese, Delivery",150
"Patio 805,Jayanagar",4.1,Jayanagar,"Thai, Vietnamese, Asian, Chinese, Delivery, Dine-out, Dine-out, Delivery",1200
"Lassi Corner,Basavanagudi",3.7,Basavanagudi,"Beverages, Ice Cream, Delivery",150
"Sagar Deluxe,Kumaraswamy Layout",3.2,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices, Delivery",300
"Kanti Sweets,Banashankari",4.0,Banashankari,"Mithai, Street Food, Delivery, Desserts",400
"Vegetalia,Banashankari",3.7,Banashankari,"Italian, Pizza, Delivery",400
"Aramane Donne Biryani,Banashankari",3.5,Banashankari,"Biryani, Delivery, Dine-out",200
"Ande Ka Funda,Banashankari",3.8,Banashankari,"North Indian, Fast Food, Rolls, Delivery, Dine-out, Delivery",250
"Cake Ghar,Basavanagudi",3.8,Basavanagudi,"Bakery, Delivery, Desserts",400
"Energy Addaa,Basavanagudi",4.2,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza, Delivery, Dine-out",500
"Bhattara Bhojana,Banashankari",3.6,Banashankari,"South Indian, Delivery, Dine-out",150
"Tandoori Knight,Banashankari",3.0,Banashankari,"North Indian, Chinese, Biryani, Kebab, Delivery, Dine-out",450
"Dev Sagar - Food Street,Basavanagudi",4.1,Basavanagudi,"Street Food, Delivery",200
"Mitraa Da Pizza,Kumaraswamy Layout",3.8,Kumaraswamy Layout,"Fast Food, Pizza, Delivery",250
"Paradise Premium,Banashankari",3.1,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian, Delivery, Dine-out",700
"Grazers,Jayanagar",3.9,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts, Delivery, Cafes, Dine-out",650
"Shakes Theory,Jayanagar",4.5,Jayanagar,"Beverages, Sandwich, Delivery",300
"@Italy,Kumaraswamy Layout",4.1,Kumaraswamy Layout,"Italian, Delivery",700
"Chilli Flakes,Banashankari",3.6,Banashankari,"Fast Food, Italian, Beverages, Delivery, Dine-out",500
"Calcutta Cafe,Kumaraswamy Layout",3.5,Kumaraswamy Layout,"Bengali, Chinese, Sandwich, Delivery",350
"Old Mumbai Ice Cream,Banashankari",3.9,Banashankari,"Ice Cream, Delivery, Desserts, Desserts",150
"Donne Biriyani House,Banashankari",3.9,Banashankari,"South Indian, North Indian, Chinese, Biryani, Delivery, Dine-out",400
"By 2 Coffee,Basavanagudi",3.9,Basavanagudi,"South Indian, Delivery, Delivery, Dine-out, Delivery",100
"Kedia's Fun Food,Jayanagar",4.3,Jayanagar,"North Indian, Street Food, Juices, Delivery",200
"Davangere Butter Dosa Hotel,Kumaraswamy Layout",3.8,Kumaraswamy Layout,"South Indian, Delivery",150
"Just Shawarma,Kumaraswamy Layout",3.9,Kumaraswamy Layout,"Arabian, Delivery",300
"Mini Punjabi Dhaba,Banashankari",4.2,Banashankari,"North Indian, Delivery, Dine-out",350
"Mulabagilu Dosa,Basavanagudi",3.6,Basavanagudi,"South Indian, Delivery, Dine-out",100
